,word,count
0,file,2067
1,appel,4472
2,decre,392
3,pass,1044
4,appeal,2252
5,high,2653
6,court,6912
7,order,2969
8,director,194
9,bank,254
10,direct,948
11,fraud,305
12,play,82
13,upon,570
14,know,116
15,fraudul,184
16,document,584
17,find,859
18,proceed,941
19,initi,243
20,impugn,469
21,set,665
22,asid,499
23,basi,494
24,materi,448
25,petition,1024
26,investig,1160
27,agenc,156
28,inquiri,172
29,treat,89
30,dispos,297
31,approach,137
32,�,558
33,polic,1136
34,commission,157
35,statement,701
36,record,1331
37,section,3951
38,chief,192
39,metropolitan,50
40,magistr,528
41,secur,128
42,offic,855
43,kind,44
44,counter,57
45,counsel,1251
46,accus,2625
47,question,781
48,decid,283
49,petit,1117
50,constitut,364
51,matter,851
52,eventu,26
53,trial,1330
54,parti,912
55,case,2992
56,accord,480
57,law,785
58,regard,621
59,crime,231
60,branch,70
61,arrest,216
62,requisit,43
63,creat,86
64,request,116
65,justic,432
66,committe,147
67,district,320
68,countri,59
69,registrar,80
70,gener,329
71,complianc,76
72,report,1040
73,peac,25
74,appear,738
75,cbi,113
76,chargesheet,55
77,person,1648
78,applic,1118
79,discharg,138
80,special,653
81,judg,916
82,observ,405
83,telephon,32
84,convers,49
85,amount,479
86,paid,252
87,even,580
88,infer,77
89,opinion,330
90,commit,576
91,lakh,112
92,complain,459
93,remain,218
94,thereaft,334
95,trap,16
96,laid,150
97,wit,932
98,pay,210
99,consid,487
100,respond,2441
101,error,97
102,date,1771
103,stage,241
104,evid,1464
105,could,664
106,appreci,117
107,taken,734
108,make,485
109,correct,172
110,aforesaid,469
111,circumst,600
112,grant,601
113,code,670
114,anticipatori,99
115,bail,574
116,howev,564
117,challeng,357
118,cancel,151
119,present,683
120,preclud,14
121,senior,285
122,interim,88
123,sever,165
124,inform,708
125,addit,339
126,session,402
127,pend,214
128,settl,110
129,give,307
130,interfer,206
131,disput,357
132,state,1918
133,come,326
134,januari,82
135,fact,1238
136,take,558
137,manag,184
138,limit,367
139,situat,171
140,cyber,18
141,road,58
142,hyderabad,44
143,complaint,648
144,compani,516
145,ltd,203
146,research,25
147,substanti,155
148,oper,118
149,carri,167
150,viz,55
151,industri,87
152,content,261
153,regist,422
154,analys,26
155,hack,29
156,work,230
157,ip,16
158,sec,66
159,technolog,38
160,examin,687
161,detail,193
162,allot,107
163,seiz,131
164,drive,14
165,contain,248
166,comput,49
167,system,60
168,sentenc,648
169,fine,222
170,time,807
171,offenc,1211
172,punish,505
173,period,525
174,herein,334
175,crimin,925
176,alleg,885
177,hospit,133
178,medic,174
179,neglig,29
180,die,174
181,doctor,111
182,singl,274
183,mere,184
184,death,342
185,must,518
186,establish,273
187,opportun,99
188,expert,39
189,adduc,80
190,master,108
191,succeed,44
192,relev,273
193,postal,15
194,post,210
195,earlier,169
196,prosecut,1030
197,deposit,220
198,account,342
199,larg,66
200,number,159
201,worker,27
202,remit,58
203,chequ,79
204,sum,133
205,procedur,347
206,prescrib,110
207,withdraw,75
208,seal,54
209,permit,108
210,withdrawn,46
211,manner,210
212,pursuant,109
213,conspiraci,56
214,fabric,83
215,prepar,140
216,forg,84
217,signatur,157
218,payment,280
219,prove,467
220,write,122
221,sent,232
222,disclos,130
223,impress,40
224,came,422
225,ipc,786
226,prevent,193
227,corrupt,81
228,show,516
229,verifi,46
230,care,244
231,revers,83
232,side,178
233,use,379
234,therefor,811
235,guilti,228
236,provis,659
237,notic,734
238,prefer,260
239,convict,813
240,misappropri,25
241,knowledg,146
242,acquit,188
243,charg,819
244,properti,672
245,trust,94
246,respect,450
247,dishonestli,32
248,head,147
249,cheat,91
250,base,190
251,station,319
252,got,154
253,messag,17
254,phone,23
255,cell,22
256,call,279
257,immedi,132
258,name,493
259,vide,204
260,publish,42
261,partner,40
262,enterpris,22
263,town,27
264,loan,95
265,innoc,68
266,connect,135
267,mani,91
268,differ,267
269,well,445
270,famili,213
271,govern,528
272,offici,121
273,railway,32
274,gate,19
275,minist,39
276,addl,34
277,action,289
278,mental,35
279,money,151
280,illeg,142
281,activ,78
282,complet,314
283,sheet,136
284,collector,111
285,per,281
286,inspector,95
287,conduct,357
288,collect,113
289,ndp,96
290,undergo,168
291,sell,109
292,place,759
293,small,45
294,packet,19
295,recov,214
296,wherein,149
297,fals,212
298,implic,63
299,dw,23
300,ext,81
301,contend,258
302,plea,141
303,quantiti,51
304,intend,88
305,consumpt,23
306,explan,126
307,specif,268
308,burden,56
309,possess,475
310,narcot,69
311,drug,101
312,substanc,98
313,kept,115
314,decis,412
315,jt,15
316,held,711
317,bond,85
318,read,531
319,bal,19
320,room,44
321,rani,28
322,told,104
323,door,33
324,boy,22
325,took,223
326,weapon,131
327,insid,36
328,seem,67
329,belong,138
330,gun,52
331,thereupon,35
332,offend,71
333,impos,200
334,default,134
335,claus,213
336,ingredi,68
337,proce,34
338,view,918
339,deadli,28
340,commiss,319
341,attract,74
342,mean,183
343,word,131
344,express,189
345,minimum,29
346,attempt,109
347,aris,223
348,whether,507
349,gazet,38
350,punjab,191
351,baldev,19
352,singh,992
353,bench,467
354,suprem,158
355,unit,97
356,although,76
357,commun,91
358,necessarili,29
359,presenc,187
360,opin,84
361,empow,63
362,aforement,69
363,supra,195
364,term,408
365,option,32
366,either,204
367,requir,449
368,strictli,22
369,provid,387
370,safeti,30
371,articl,340
372,human,93
373,done,175
374,principl,173
375,thing,42
376,judgment,1263
377,karnataka,55
378,bangalor,38
379,revis,176
380,affirm,123
381,dismiss,720
382,issu,844
383,return,132
384,dishonour,12
385,suffici,217
386,fund,57
387,negoti,36
388,instrument,61
389,rais,296
390,relationship,49
391,creditor,73
392,debtor,35
393,proviso,103
394,append,19
395,serv,155
396,brought,177
397,acknowledg,23
398,anoth,268
399,whereof,44
400,argument,112
401,produc,208
402,support,293
403,contrari,81
404,legal,294
405,rule,485
406,page,197
407,month,254
408,imprison,372
409,credit,45
410,favour,352
411,resid,112
412,presum,33
413,transact,138
414,enforc,80
415,krishna,23
416,drawn,82
417,whole,79
418,part,541
419,liabil,58
420,extend,114
421,holder,60
422,due,265
423,receipt,114
424,presumpt,54
425,thereof,207
426,everi,122
427,transfer,331
428,obtain,207
