,word,count
0,appeal,2252
1,court,6912
2,fraud,305
3,document,584
4,petition,1024
5,commission,157
6,counsel,1251
7,question,781
8,trial,1330
9,accord,480
10,law,785
11,crime,231
12,branch,70
13,opinion,330
14,code,670
15,bail,574
16,inform,708
17,system,60
18,expert,39
19,trust,94
20,loan,95
21,govern,528
22,action,289
23,conduct,357
24,burden,56
25,bond,85
26,bench,467
27,judgment,1263
28,legal,294
29,imprison,372
30,credit,45
31,transfer,331
32,affidavit,186
33,deal,219
34,civil,491
35,writ,511
36,power,402
37,murder,183
38,aspect,119
39,agreement,570
40,suit,736
41,deed,344
42,prohibit,82
43,effect,342
44,proof,80
45,bill,62
46,fee,34
47,appoint,198
48,claim,432
49,agent,97
50,tenant,92
51,rate,85
52,amend,208
53,victim,180
54,sanction,123
55,heir,37
56,draft,36
57,contract,209
58,assault,145
59,ownership,27
60,standard,51
61,breach,62
62,affect,85
63,coercion,23
64,wrong,124
65,inquest,35
66,consent,145
67,prior,97
68,resist,20
69,contempt,70
70,redress,15
71,patent,22
72,prison,30
73,freedom,45
74,safeguard,22
